Unnamed: 0,Unnamed: 0.1,id,long,lat,timestamp,timeadjust
519470,870621,21705722,-71.1400815,42.3468727,1390337665,1390323265
519528,875504,21705722,-71.1400815,42.3468727,1390337774,1390323374
521804,1070332,21705722,-71.14007756,42.34687231,1390342103,1390327703
522255,1103253,21705722,-71.14007319,42.34687041,1390342830,1390328430
525708,1359385,21705722,-71.14008175,42.34682663,1390348477,1390334077
525862,1368756,21705722,-71.14008175,42.34682663,1390348684,1390334284
541927,234618,21705722,-71.14004197,42.34695519,1390371786,1390357386
565157,2620969,21705722,-71.0433455,42.3464712,1390444686,1390430286
571694,94865,21705722,-71.1400897,42.3468654,1390455222,1390440822
572967,269838,21705722,-71.14007383,42.34691436,1390458943,1390444543
572985,273755,21705722,-71.14007383,42.34691436,1390459027,1390444627
573013,277156,21705722,-71.14007383,42.34691436,1390459099,1390444699
573052,283839,21705722,-71.1400818,42.3468595,1390459240,1390444840
574807,971451,21705722,-71.1400975,42.3468681,1390474134,1390459734
574814,973528,21705722,-71.14005545,42.34692993,1390474180,1390459780
576382,1232263,21705722,-71.1401225,42.3468725,1390479849,1390465449
576718,1276680,21705722,-71.14008876,42.34688078,1390480826,1390466426
576781,1286190,21705722,-71.14008711,42.34688066,1390481035,1390466635
576904,1304275,21705722,-71.14007911,42.34687775,1390481433,1390467033
577004,1318811,21705722,-71.14005215,42.34689953,1390481753,1390467353
581283,1859583,21705722,-71.14005357,42.34690041,1390493762,1390479362
581497,1880661,21705722,-71.14004737,42.34689741,1390494234,1390479834
581769,1909773,21705722,-71.14004622,42.34689938,1390494887,1390480487
583977,2147339,21705722,-71.14003551,42.34687932,1390500223,1390485823
586247,2383752,21705722,-71.14009816,42.34691487,1390505554,1390491154
586414,2399037,21705722,-71.14008792,42.34690209,1390505899,1390491499
586674,2424297,21705722,-71.1400706,42.3468868,1390506471,1390492071
587375,2489626,21705722,-71.14001182,42.34682854,1390507947,1390493547
591619,2929644,21705722,-71.1400835,42.3468775,1390517765,1390503365
593707,3121159,21705722,-71.14007708,42.34680467,1390522243,1390507843
596882,3341010,21705722,-71.14005496,42.34688935,1390527107,1390512707
615847,2020577,21705722,-71.1400852,42.3468754,1390583609,1390569209
615971,2033925,21705722,-71.1400798,42.3468825,1390583907,1390569507
616012,2038366,21705722,-71.1400798,42.3468825,1390584006,1390569606
616936,2129724,21705722,-71.1400826,42.3468585,1390586046,1390571646
617344,2174807,21705722,-71.1400962,42.3468286,1390587053,1390572653
641522,807896,21705722,-71.1401572,42.3468375,1390643232,1390628832
648493,2115794,21705722,-71.1400594,42.34692329,1390671883,1390657483
650434,2297172,21705722,-71.14000785,42.34688274,1390675883,1390661483
652664,2499748,21705722,-71.14023342,42.346916,1390680355,1390665955
660002,3195432,21705722,-71.1400608,42.3468916,1390695710,1390681310
660017,3196235,21705722,-71.1400608,42.3468916,1390695728,1390681328
660440,3235885,21705722,-71.14003866,42.34693029,1390696597,1390682197
660784,3266799,21705722,-71.14003401,42.34688207,1390697274,1390682874
680538,2033243,21705722,-71.13998191,42.34692198,1390756360,1390741960
680663,2046427,21705722,-71.1400904,42.3468806,1390756650,1390742250
682038,2188453,21705722,-71.1400737,42.3468848,1390759776,1390745376
686175,2601133,21705722,-71.13986403,42.34698442,1390768911,1390754511
692742,3214287,21705722,-71.140034,42.34692317,1390783437,1390769037
693063,3237850,21705722,-71.14005066,42.34685287,1390783958,1390769558
693895,3282728,21705722,-71.1400813,42.3468546,1390784938,1390770538
694092,3293388,21705722,-71.14009066,42.34688563,1390785170,1390770770
694536,3313942,21705722,-71.1400664,42.3468986,1390785612,1390771212
694754,3324504,21705722,-71.14004374,42.34688477,1390785840,1390771440
695468,3357642,21705722,-71.14005126,42.34683194,1390786555,1390772155
697083,3439054,21705722,-71.14005301,42.34690174,1390788314,1390773914
697205,3444963,21705722,-71.14005301,42.34690174,1390788441,1390774041
697348,3450667,21705722,-71.13999002,42.34689914,1390788563,1390774163
697487,3456820,21705722,-71.13999002,42.34689914,1390788694,1390774294
698552,3512498,21705722,-71.14006103,42.34689797,1390789896,1390775496
701364,3657687,21705722,-71.14007571,42.34689452,1390793011,1390778611
701736,3677864,21705722,-71.14007929,42.34689372,1390793442,1390779042
704439,3857488,21705722,-71.13999678,42.34683028,1390797286,1390782886
704526,3863799,21705722,-71.13978736,42.34664926,1390797422,1390783022
704865,3892165,21705722,-71.14008236,42.34688263,1390798028,1390783628
727362,3140381,21705722,-71.14005476,42.34696066,1390867890,1390853490
740391,223486,21705722,-71.14009306,42.34689459,1390889960,1390875560
740503,248260,21705722,-71.14011276,42.34686384,1390890487,1390876087
740515,251510,21705722,-71.14011276,42.34686384,1390890556,1390876156
770802,160783,21705722,-71.14007845,42.34687728,1390975024,1390960624
774295,1251070,21705722,-71.0619913,42.3598182,1390999750,1390985350
774592,1293676,21705722,-71.0632016,42.3600861,1391000689,1390986289
774875,1339045,21705722,-71.0619161,42.3598983,1391001691,1390987291
775205,1387541,21705722,-71.0617665,42.3599762,1391002766,1390988366
775544,1435183,21705722,-71.0632587,42.3600521,1391003818,1390989418
775869,1478181,21705722,-71.0631823,42.3600628,1391004769,1390990369
775939,1486706,21705722,-71.063041,42.3600563,1391004958,1390990558
775975,1492199,21705722,-71.0618683,42.3597701,1391005080,1390990680
776126,1513575,21705722,-71.0633143,42.3599975,1391005553,1390991153
776210,1526758,21705722,-71.0625716,42.359721,1391005846,1390991446
786320,2750790,21705722,-71.1400712,42.3468839,1391033183,1391018783
789284,3052793,21705722,-71.1400692,42.3468837,1391039878,1391025478
801214,234001,21705722,-71.14008341,42.34687413,1391062994,1391048594
807711,1792998,21705722,-71.14001139,42.34683139,1391097064,1391082664
815318,2666693,21705722,-71.1401041,42.346855,1391116648,1391102248
815520,2688914,21705722,-71.1400249,42.34697115,1391117144,1391102744
818327,2970608,21705722,-71.14010973,42.34686064,1391123428,1391109028
818818,3016335,21705722,-71.1400599,42.3468575,1391124444,1391110044
818968,3029754,21705722,-71.14021594,42.34669704,1391124742,1391110342
825594,3528932,21705722,-71.14007466,42.34670323,1391135769,1391121369
825889,3548756,21705722,-71.14008829,42.34687223,1391136202,1391121802
826889,3619241,21705722,-71.1400657,42.34692727,1391137738,1391123338
831193,133381,21705722,-71.1400943,42.3468712,1391147249,1391132849
840533,2044036,21705722,-71.14049627,42.34657366,1391188933,1391174533
841387,2137381,21705722,-71.1400764,42.3468695,1391191020,1391176620
842452,2260646,21705722,-71.14009344,42.3470079,1391193784,1391179384
867507,1679658,21705722,-71.14008,42.3468805,1391266927,1391252527
876350,2636910,21705722,-71.1400652,42.346873,1391287900,1391273500
886662,3624965,21705722,-70.70230591,41.98431173,1391309546,1391295146
893356,276067,21705722,-71.04361823,42.34637305,1391323057,1391308657
902678,2143879,21705722,-71.1400829,42.3468673,1391363451,1391349051
906708,2532316,21705722,-71.1400504,42.3468762,1391372003,1391357603
907978,2658196,21705722,-71.14020058,42.34693096,1391374779,1391360379
908321,2693537,21705722,-71.14005941,42.3469133,1391375558,1391361158
908333,2695393,21705722,-71.14004184,42.34690265,1391375600,1391361200
908733,2740837,21705722,-71.14000922,42.3468838,1391376602,1391362202
909281,2803790,21705722,-71.1400336,42.3468918,1391377981,1391363581
910459,2927314,21705722,-71.14008125,42.34683778,1391380686,1391366286
910495,2930029,21705722,-71.13996432,42.34685627,1391380746,1391366346
911008,2978091,21705722,-71.1401073,42.3468991,1391381797,1391367397
912069,3066288,21705722,-71.1400533,42.3468574,1391383716,1391369316
